data,temperature_2m_max,temperature_2m_min,precipitation_sum,weather_code
2024-05-16,27.8,22.0,0.1,51
2024-05-17,34.0,22.9,0.0,1
2024-05-18,28.0,23.4,0.0,1
2024-05-19,27.2,22.5,0.3,51
2024-05-20,31.2,21.6,0.2,51
2024-05-21,24.5,22.6,2.9,53
2024-05-22,27.4,21.1,0.0,3
2024-05-23,29.5,20.6,0.0,3
2024-05-24,32.3,21.3,0.0,3
2024-05-25,25.6,21.5,2.2,53
2024-05-26,21.3,20.0,25.9,63
2024-05-27,22.9,18.7,0.4,51
2024-05-28,28.7,20.7,0.0,2
2024-05-29,22.4,20.9,0.5,51
2024-05-30,22.9,18.4,0.0,3
2024-05-31,22.2,18.5,0.9,51
2024-06-01,24.6,18.2,0.0,3
2024-06-02,26.4,18.4,0.0,3
2024-06-03,28.4,19.2,0.0,2
2024-06-04,23.0,20.2,3.1,61
2024-06-05,22.8,20.1,2.8,53
2024-06-06,26.2,18.7,0.0,3
2024-06-07,27.0,19.3,0.0,2
2024-06-08,26.4,19.3,0.0,0
2024-06-09,26.9,19.2,0.0,3
2024-06-10,29.1,20.1,0.0,3
2024-06-11,30.0,20.9,0.0,1
2024-06-12,27.8,19.5,0.0,0
2024-06-13,28.6,18.2,0.0,0
2024-06-14,30.0,19.6,0.0,1
2024-06-15,30.8,19.8,0.0,3
2024-06-16,30.3,20.1,0.0,3
2024-06-17,31.0,20.4,0.0,2
2024-06-18,30.4,20.8,0.0,3
2024-06-19,30.7,20.5,0.0,0
2024-06-20,30.6,20.2,0.0,0
2024-06-21,28.3,19.3,0.0,3
2024-06-22,29.5,20.0,0.0,3
2024-06-23,31.5,21.2,0.0,1
2024-06-24,32.1,22.5,0.0,0
2024-06-25,26.6,22.5,0.5,51
2024-06-26,29.0,20.7,0.0,3
2024-06-27,25.9,22.3,1.1,53
2024-06-28,30.9,20.8,0.0,3
2024-06-29,26.8,21.1,2.6,61
2024-06-30,20.8,18.7,9.2,61
2024-07-01,21.2,18.0,2.7,61
2024-07-02,23.8,18.3,0.0,2
2024-07-03,28.4,18.7,0.0,3
2024-07-04,29.7,20.7,0.0,0
2024-07-05,28.7,20.2,0.0,1
2024-07-06,23.6,20.4,0.4,51
2024-07-07,25.0,19.1,0.0,3
2024-07-08,23.4,20.7,0.5,51
2024-07-09,22.5,19.7,3.0,61
2024-07-10,27.7,17.9,0.0,3
2024-07-11,23.6,20.4,0.0,3
2024-07-12,23.7,20.7,8.8,63
2024-07-13,22.6,20.2,1.9,51
2024-07-14,26.4,19.4,1.4,51
2024-07-15,22.9,19.8,0.9,51
2024-07-16,23.3,18.4,0.0,3
2024-07-17,24.2,18.7,0.3,51
2024-07-18,24.6,17.1,0.0,3
2024-07-19,22.3,17.7,0.0,1
2024-07-20,22.5,16.7,0.0,0
2024-07-21,22.9,16.4,0.0,3
2024-07-22,25.0,16.2,0.0,3
2024-07-23,23.1,17.3,0.0,3
2024-07-24,25.3,17.0,0.0,3
2024-07-25,27.4,17.6,0.0,1
2024-07-26,29.0,18.7,0.0,3
2024-07-27,27.6,19.0,0.0,3
2024-07-28,32.0,19.1,0.0,3
2024-07-29,24.3,19.6,0.0,3
2024-07-30,21.5,18.5,27.6,63
2024-07-31,23.5,18.5,1.3,51
2024-08-01,25.3,18.5,0.0,3
2024-08-02,25.3,18.3,0.0,0
2024-08-03,25.5,17.3,0.0,2
2024-08-04,28.4,19.1,0.0,1
2024-08-05,29.1,18.8,0.0,0
2024-08-06,29.5,20.0,0.0,0
2024-08-07,32.3,20.0,0.0,0
2024-08-08,33.4,20.9,0.0,0
2024-08-09,26.4,20.7,2.4,61
2024-08-10,20.9,16.7,35.5,63
2024-08-11,21.1,14.9,0.0,3
2024-08-12,23.6,15.6,0.0,3
2024-08-13,19.3,16.6,0.6,51
2024-08-14,22.0,15.2,0.0,3
2024-08-15,24.4,16.2,0.0,3
2024-08-16,27.7,18.0,0.0,2
2024-08-17,29.0,18.2,0.0,1
2024-08-18,28.4,17.8,0.0,0
2024-08-19,28.9,18.9,0.0,0
